"statename","year","BDRM1","BDRM2","Studio","MGR_all","state"
"Indiana",2018,677,827,627,820,"IN"
"Indiana",2018,677,827,627,820,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Indiana",2019,685,843,661,840,"IN"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2015,556,741,543,718,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2016,580,759,582,741,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2017,592,771,562,760,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2018,604,797,631,777,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Iowa",2019,620,826,568,808,"IA"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2015,584,776,593,782,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2016,623,780,589,789,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2017,652,822,617,815,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2018,657,836,707,840,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kansas",2019,682,837,651,862,"KS"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2015,558,690,508,702,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2016,560,696,500,707,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2017,578,703,507,724,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2018,616,772,575,779,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Kentucky",2019,652,760,574,773,"KY"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2015,678,789,653,800,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2016,681,802,632,808,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2017,700,821,587,836,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2018,732,844,614,854,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Louisiana",2019,742,863,710,866,"LA"
"Maine",2015,619,859,665,792,"ME"
"Maine",2015,619,859,665,792,"ME"
"Maine",2015,619,859,665,792,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2016,632,866,594,797,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2017,647,868,529,806,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2018,693,903,623,839,"ME"
"Maine",2019,673,909,727,870,"ME"
"Maine",2019,673,909,727,870,"ME"
"Maine",2019,673,909,727,870,"ME"
"Maryland",2015,1025,1310,904,1278,"MD"
"Maryland",2015,1025,1310,904,1278,"MD"
"Maryland",2015,1025,1310,904,1278,"MD"
"Maryland",2016,1079,1321,993,1314,"MD"
"Maryland",2016,1079,1321,993,1314,"MD"
"Maryland",2016,1079,1321,993,1314,"MD"
"Maryland",2017,1118,1355,1011,1337,"MD"
"Maryland",2017,1118,1355,1011,1337,"MD"
"Maryland",2017,1118,1355,1011,1337,"MD"
"Maryland",2018,1143,1392,1077,1371,"MD"
"Maryland",2018,1143,1392,1077,1371,"MD"
"Maryland",2018,1143,1392,1077,1371,"MD"
"Maryland",2019,1180,1424,1062,1401,"MD"
"Maryland",2019,1180,1424,1062,1401,"MD"
"Maryland",2019,1180,1424,1062,1401,"MD"
"Massachusetts",2015,920,1234,910,1164,"MA"
"Massachusetts",2015,920,1234,910,1164,"MA"
"Massachusetts",2015,920,1234,910,1164,"MA"
"Massachusetts",2016,966,1273,817,1179,"MA"
"Massachusetts",2016,966,1273,817,1179,"MA"
"Massachusetts",2016,966,1273,817,1179,"MA"
"Massachusetts",2017,981,1292,928,1208,"MA"
"Massachusetts",2017,981,1292,928,1208,"MA"
"Massachusetts",2017,981,1292,928,1208,"MA"
"Massachusetts",2018,1019,1381,917,1295,"MA"
"Massachusetts",2018,1019,1381,917,1295,"MA"
"Massachusetts",2018,1019,1381,917,1295,"MA"
"Massachusetts",2019,1086,1477,1100,1360,"MA"
"Massachusetts",2019,1086,1477,1100,1360,"MA"
"Massachusetts",2019,1086,1477,1100,1360,"MA"
"Michigan",2015,635,819,616,803,"MI"
"Michigan",2015,635,819,616,803,"MI"
"Michigan",2015,635,819,616,803,"MI"
"Michigan",2016,646,833,638,818,"MI"
"Michigan",2016,646,833,638,818,"MI"
"Michigan",2016,646,833,638,818,"MI"
"Michigan",2017,667,846,633,835,"MI"
"Michigan",2017,667,846,633,835,"MI"
"Michigan",2017,667,846,633,835,"MI"
"Michigan",2018,682,881,686,861,"MI"
"Michigan",2018,682,881,686,861,"MI"
"Michigan",2018,682,881,686,861,"MI"
"Michigan",2019,713,906,674,888,"MI"
"Michigan",2019,713,906,674,888,"MI"
"Michigan",2019,713,906,674,888,"MI"
"Minnesota",2015,747,945,709,888,"MN"
"Minnesota",2015,747,945,709,888,"MN"
"Minnesota",2015,747,945,709,888,"MN"
"Minnesota",2016,792,956,699,912,"MN"
"Minnesota",2016,792,956,699,912,"MN"
"Minnesota",2016,792,956,699,912,"MN"
"Minnesota",2017,817,994,728,939,"MN"
"Minnesota",2017,817,994,728,939,"MN"
"Minnesota",2017,817,994,728,939,"MN"
"Minnesota",2018,854,1033,780,969,"MN"
"Minnesota",2018,854,1033,780,969,"MN"
"Minnesota",2018,854,1033,780,969,"MN"
"Minnesota",2019,902,1082,831,1016,"MN"
"Minnesota",2019,902,1082,831,1016,"MN"
"Minnesota",2019,902,1082,831,1016,"MN"
"Mississippi",2015,560,693,528,724,"MS"
"Mississippi",2015,560,693,528,724,"MS"
"Mississippi",2015,560,693,528,724,"MS"
"Mississippi",2016,589,687,545,728,"MS"
"Mississippi",2016,589,687,545,728,"MS"
"Mississippi",2016,589,687,545,728,"MS"
"Mississippi",2017,564,703,550,742,"MS"
"Mississippi",2017,564,703,550,742,"MS"
"Mississippi",2017,564,703,550,742,"MS"
"Mississippi",2018,613,743,570,777,"MS"
"Mississippi",2018,613,743,570,777,"MS"
"Mississippi",2018,613,743,570,777,"MS"
"Mississippi",2019,613,747,598,777,"MS"
"Mississippi",2019,613,747,598,777,"MS"
"Mississippi",2019,613,747,598,777,"MS"
"Missouri",2015,600,757,555,763,"MO"
"Missouri",2015,600,757,555,763,"MO"
"Missouri",2015,600,757,555,763,"MO"
"Missouri",2016,611,765,580,771,"MO"
"Missouri",2016,611,765,580,771,"MO"
"Missouri",2016,611,765,580,771,"MO"
"Missouri",2017,636,789,622,800,"MO"
"Missouri",2017,636,789,622,800,"MO"
"Missouri",2017,636,789,622,800,"MO"
"Missouri",2018,661,819,691,830,"MO"
"Missouri",2018,661,819,691,830,"MO"
"Missouri",2018,661,819,691,830,"MO"
"Missouri",2019,683,829,687,834,"MO"
"Missouri",2019,683,829,687,834,"MO"
"Missouri",2019,683,829,687,834,"MO"
"Montana",2015,558,768,515,763,"MT"
"Montana",2015,558,768,515,763,"MT"
"Montana",2015,558,768,515,763,"MT"
"Montana",2016,566,761,498,741,"MT"
"Montana",2016,566,761,498,741,"MT"
"Montana",2016,566,761,498,741,"MT"
"Montana",2017,623,781,577,759,"MT"
"Montana",2017,623,781,577,759,"MT"
"Montana",2017,623,781,577,759,"MT"
"Montana",2018,620,830,607,811,"MT"
"Montana",2018,620,830,607,811,"MT"
"Montana",2018,620,830,607,811,"MT"
"Montana",2019,660,849,590,831,"MT"
"Montana",2019,660,849,590,831,"MT"
"Montana",2019,660,849,590,831,"MT"
"Nebraska",2015,625,760,600,750,"NE"
"Nebraska",2015,625,760,600,750,"NE"
"Nebraska",2015,625,760,600,750,"NE"
"Nebraska",2016,635,773,569,769,"NE"
"Nebraska",2016,635,773,569,769,"NE"
"Nebraska",2016,635,773,569,769,"NE"
"Nebraska",2017,657,812,548,801,"NE"
"Nebraska",2017,657,812,548,801,"NE"
"Nebraska",2017,657,812,548,801,"NE"
"Nebraska",2018,703,847,734,830,"NE"
"Nebraska",2018,703,847,734,830,"NE"
"Nebraska",2018,703,847,734,830,"NE"
"Nebraska",2019,737,850,727,859,"NE"
"Nebraska",2019,737,850,727,859,"NE"
"Nebraska",2019,737,850,727,859,"NE"
"Nevada",2015,740,922,622,980,"NV"
"Nevada",2015,740,922,622,980,"NV"
"Nevada",2015,740,922,622,980,"NV"
"Nevada",2016,757,928,618,1003,"NV"
"Nevada",2016,757,928,618,1003,"NV"
"Nevada",2016,757,928,618,1003,"NV"
"Nevada",2017,832,978,716,1051,"NV"
"Nevada",2017,832,978,716,1051,"NV"
"Nevada",2017,832,978,716,1051,"NV"
"Nevada",2018,885,1049,763,1108,"NV"
"Nevada",2018,885,1049,763,1108,"NV"
"Nevada",2018,885,1049,763,1108,"NV"
"Nevada",2019,937,1107,796,1168,"NV"
"Nevada",2019,937,1107,796,1168,"NV"
"Nevada",2019,937,1107,796,1168,"NV"
"New Hampshire",2015,801,1105,718,1017,"NH"
"New Hampshire",2015,801,1105,718,1017,"NH"
"New Hampshire",2015,801,1105,718,1017,"NH"
"New Hampshire",2016,842,1094,740,1026,"NH"
"New Hampshire",2016,842,1094,740,1026,"NH"
"New Hampshire",2016,842,1094,740,1026,"NH"
"New Hampshire",2017,849,1147,695,1072,"NH"
"New Hampshire",2017,849,1147,695,1072,"NH"
"New Hampshire",2017,849,1147,695,1072,"NH"
"New Hampshire",2018,854,1189,765,1090,"NH"
"New Hampshire",2018,854,1189,765,1090,"NH"
"New Hampshire",2018,854,1189,765,1090,"NH"
"New Hampshire",2019,900,1273,756,1147,"NH"
"New Hampshire",2019,900,1273,756,1147,"NH"
"New Hampshire",2019,900,1273,756,1147,"NH"
"New Jersey",2015,1024,1287,855,1214,"NJ"
"New Jersey",2015,1024,1287,855,1214,"NJ"
"New Jersey",2015,1024,1287,855,1214,"NJ"
"New Jersey",2016,1057,1318,874,1244,"NJ"
"New Jersey",2016,1057,1318,874,1244,"NJ"
"New Jersey",2016,1057,1318,874,1244,"NJ"
"New Jersey",2017,1092,1346,953,1284,"NJ"
"New Jersey",2017,1092,1346,953,1284,"NJ"
"New Jersey",2017,1092,1346,953,1284,"NJ"
"New Jersey",2018,1136,1418,979,1336,"NJ"
"New Jersey",2018,1136,1418,979,1336,"NJ"
"New Jersey",2018,1136,1418,979,1336,"NJ"
"New Jersey",2019,1181,1443,1059,1376,"NJ"
"New Jersey",2019,1181,1443,1059,1376,"NJ"
"New Jersey",2019,1181,1443,1059,1376,"NJ"
"New Mexico",2015,627,745,548,783,"NM"
"New Mexico",2015,627,745,548,783,"NM"
"New Mexico",2015,627,745,548,783,"NM"
"New Mexico",2016,643,782,565,804,"NM"
"New Mexico",2016,643,782,565,804,"NM"
"New Mexico",2016,643,782,565,804,"NM"
"New Mexico",2017,658,780,565,813,"NM"
"New Mexico",2017,658,780,565,813,"NM"
"New Mexico",2017,658,780,565,813,"NM"
"New Mexico",2018,647,806,598,830,"NM"
"New Mexico",2018,647,806,598,830,"NM"
"New Mexico",2018,647,806,598,830,"NM"
"New Mexico",2019,683,819,575,847,"NM"
"New Mexico",2019,683,819,575,847,"NM"
"New Mexico",2019,683,819,575,847,"NM"
"New York",2015,1122,1180,1091,1173,"NY"
"New York",2015,1122,1180,1091,1173,"NY"
