state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
MA,2016,6434,13174,massachusetts,6823608,0.09,0.19,3.9,9.6,72270,829,817,10
MA,2017,6267,11298,massachusetts,6859789,0.09,0.16,3.8,11.2,73230,891,928,11
MA,2018,6811,13257,massachusetts,6882635,0.1,0.19,3.3,8.7,86350,973,917,11
MA,2019,6259,12212,massachusetts,6892503,0.09,0.18,3,7.5,87710,1098,1100,12.75
MD,2015,5383,3007,maryland,5985562,0.09,0.05,5.1,9.6,73590,805,904,8.25
MD,2016,4983,2706,maryland,6003323,0.08,0.05,4.5,7.1,73760,827,993,8.75
MD,2017,5077,2170,maryland,6023868,0.08,0.04,4.3,7.6,81080,908,1011,8.75
MD,2018,4914,2230,maryland,6035802,0.08,0.04,3.9,8,86220,925,1077,10.1
MD,2019,4652,1909,maryland,6045680,0.08,0.03,3.4,7,95570,897,1062,11
ME,2015,1219,1153,maine,1328262,0.09,0.09,4.4,12.3,50760,558,665,7.5
ME,2016,1321,920,maine,1331317,0.1,0.07,3.8,12.7,50860,565,594,7.5
ME,2017,1352,928,maine,1334612,0.1,0.07,3.4,12.4,51660,603,529,9
ME,2018,1450,1066,maine,1339057,0.11,0.08,3.4,11.6,58660,633,623,10
ME,2019,1232,874,maine,1344212,0.09,0.07,2.9,10.4,66550,680,727,12
MI,2015,6546,3970,michigan,9931715,0.07,0.04,5.4,12.8,54200,478,616,8.15
MI,2016,5803,3513,michigan,9950571,0.06,0.04,5,11.1,57090,492,638,8.5
MI,2017,5628,3423,michigan,9973114,0.06,0.03,4.6,11.5,57700,509,633,8.9
MI,2018,5209,3142,michigan,9984072,0.05,0.03,4.1,10.5,60450,534,686,9.25
MI,2019,5212,3363,michigan,9986857,0.05,0.03,4.1,10.2,64120,542,674,9.65
MN,2015,3622,3924,minnesota,5482032,0.07,0.07,3.7,7.8,68730,484,709,7.25
MN,2016,3669,3672,minnesota,5522744,0.07,0.07,3.9,8.7,70220,483,699,7.25
MN,2017,3899,3769,minnesota,5566230,0.07,0.07,3.4,8.5,71920,502,728,7.75
MN,2018,3993,3250,minnesota,5606249,0.07,0.06,2.9,7.9,71820,518,780,8.04
MN,2019,4586,3391,minnesota,5639632,0.08,0.06,3.3,5.7,81430,538,831,8.15
MO,2015,3434,3048,missouri,6071732,0.06,0.05,5,9.8,59200,437,555,7.65
MO,2016,3810,2384,missouri,6087135,0.06,0.04,4.6,13,55020,460,580,7.65
MO,2017,3768,2269,missouri,6106670,0.06,0.04,3.8,11.4,56890,472,622,7.7
MO,2018,3776,2107,missouri,6121623,0.06,0.03,3.2,12.4,61730,470,691,7.85
MO,2019,4173,2006,missouri,6137428,0.07,0.03,3.2,9.4,60600,480,687,9.45
MS,2015,1475,508,mississippi,2988471,0.05,0.02,6.4,19.1,40040,456,528,0
MS,2016,1299,439,mississippi,2987938,0.04,0.01,5.8,21.1,41100,477,545,0
MS,2017,1100,372,mississippi,2988510,0.04,0.01,5.1,18.5,43440,513,550,0
MS,2018,1024,328,mississippi,2981020,0.03,0.01,4.8,19.6,42780,503,570,0
MS,2019,963,221,mississippi,2976149,0.03,0.01,5.5,19.2,44790,506,598,0
MT,2015,1127,582,montana,1030475,0.11,0.06,4.2,11.9,51400,494,515,8.05
MT,2016,844,574,montana,1040859,0.08,0.06,4.1,11.7,57080,494,498,8.05
MT,2017,987,542,montana,1052482,0.09,0.05,3.9,10.3,59090,511,577,8.15
MT,2018,983,422,montana,1060665,0.09,0.04,3.7,10.3,57680,534,607,8.3
MT,2019,947,410,montana,1068778,0.09,0.04,3.5,9.7,60200,521,590,8.65
NC,2015,7156,3529,north carolina,10031646,0.07,0.04,5.7,15.3,50800,528,744,7.25
