"State","year","rent_type","value"
"Georgia","2015","MGR - Studio",753
"Georgia","2015","MGR - 1 BDRM",785
"Georgia","2015","MGR - 2 BDRM",852
"Georgia","2016","MGR - Total",933
"Georgia","2016","MGR - Studio",722
"Georgia","2016","MGR - 1 BDRM",823
"Georgia","2016","MGR - 2 BDRM",871
"Georgia","2017","MGR - Total",958
"Georgia","2017","MGR - Studio",761
"Georgia","2017","MGR - 1 BDRM",859
"Georgia","2017","MGR - 2 BDRM",887
"Georgia","2018","MGR - Total",1008
"Georgia","2018","MGR - Studio",853
"Georgia","2018","MGR - 1 BDRM",917
"Georgia","2018","MGR - 2 BDRM",940
"Georgia","2019","MGR - Total",1049
"Georgia","2019","MGR - Studio",885
"Georgia","2019","MGR - 1 BDRM",985
"Georgia","2019","MGR - 2 BDRM",977
"Hawaii","2015","MGR - Total",1500
"Hawaii","2015","MGR - Studio",987
"Hawaii","2015","MGR - 1 BDRM",1173
"Hawaii","2015","MGR - 2 BDRM",1457
"Hawaii","2016","MGR - Total",1483
"Hawaii","2016","MGR - Studio",1061
"Hawaii","2016","MGR - 1 BDRM",1143
"Hawaii","2016","MGR - 2 BDRM",1519
"Hawaii","2017","MGR - Total",1573
"Hawaii","2017","MGR - Studio",1070
"Hawaii","2017","MGR - 1 BDRM",1166
"Hawaii","2017","MGR - 2 BDRM",1598
"Hawaii","2018","MGR - Total",1613
"Hawaii","2018","MGR - Studio",1016
"Hawaii","2018","MGR - 1 BDRM",1186
"Hawaii","2018","MGR - 2 BDRM",1614
"Hawaii","2019","MGR - Total",1651
"Hawaii","2019","MGR - Studio",1078
"Hawaii","2019","MGR - 1 BDRM",1211
"Hawaii","2019","MGR - 2 BDRM",1719
"Idaho","2015","MGR - Total",770
"Idaho","2015","MGR - Studio",515
"Idaho","2015","MGR - 1 BDRM",572
"Idaho","2015","MGR - 2 BDRM",720
"Idaho","2016","MGR - Total",790
"Idaho","2016","MGR - Studio",570
"Idaho","2016","MGR - 1 BDRM",575
"Idaho","2016","MGR - 2 BDRM",740
"Idaho","2017","MGR - Total",822
"Idaho","2017","MGR - Studio",605
"Idaho","2017","MGR - 1 BDRM",603
"Idaho","2017","MGR - 2 BDRM",769
"Idaho","2018","MGR - Total",848
"Idaho","2018","MGR - Studio",599
"Idaho","2018","MGR - 1 BDRM",620
"Idaho","2018","MGR - 2 BDRM",814
"Idaho","2019","MGR - Total",880
"Idaho","2019","MGR - Studio",625
"Idaho","2019","MGR - 1 BDRM",681
"Idaho","2019","MGR - 2 BDRM",843
"Illinois","2015","MGR - Total",936
"Illinois","2015","MGR - Studio",753
"Illinois","2015","MGR - 1 BDRM",802
"Illinois","2015","MGR - 2 BDRM",945
"Illinois","2016","MGR - Total",950
"Illinois","2016","MGR - Studio",786
"Illinois","2016","MGR - 1 BDRM",833
"Illinois","2016","MGR - 2 BDRM",952
"Illinois","2017","MGR - Total",974
"Illinois","2017","MGR - Studio",801
"Illinois","2017","MGR - 1 BDRM",851
"Illinois","2017","MGR - 2 BDRM",977
"Illinois","2018","MGR - Total",995
"Illinois","2018","MGR - Studio",842
"Illinois","2018","MGR - 1 BDRM",860
"Illinois","2018","MGR - 2 BDRM",1000
"Illinois","2019","MGR - Total",1020
"Illinois","2019","MGR - Studio",855
"Illinois","2019","MGR - 1 BDRM",894
"Illinois","2019","MGR - 2 BDRM",1023
"Indiana","2015","MGR - Total",758
"Indiana","2015","MGR - Studio",578
"Indiana","2015","MGR - 1 BDRM",607
"Indiana","2015","MGR - 2 BDRM",769
"Indiana","2016","MGR - Total",768
"Indiana","2016","MGR - Studio",570
"Indiana","2016","MGR - 1 BDRM",616
"Indiana","2016","MGR - 2 BDRM",775
"Indiana","2017","MGR - Total",793
"Indiana","2017","MGR - Studio",590
"Indiana","2017","MGR - 1 BDRM",647
"Indiana","2017","MGR - 2 BDRM",803
"Indiana","2018","MGR - Total",820
"Indiana","2018","MGR - Studio",627
"Indiana","2018","MGR - 1 BDRM",677
"Indiana","2018","MGR - 2 BDRM",827
"Indiana","2019","MGR - Total",840
"Indiana","2019","MGR - Studio",661
"Indiana","2019","MGR - 1 BDRM",685
