"statename","year","BDRM1","BDRM2","Studio","MGR_all","state","homeless_total","homeless_individual","homeless_family","population","homeless_total_rate","homeless_individual_rate","homeless_family_rate"
"Idaho",2018,620,814,599,848,"ID",2012,1297,715,1750536,0.11,0.07,0.04
"Idaho",2018,620,814,599,848,"ID",2012,1297,715,1750536,0.11,0.07,0.04
"Idaho",2019,681,843,625,880,"ID",2315,1516,799,1787065,0.13,0.08,0.04
"Idaho",2019,681,843,625,880,"ID",2315,1516,799,1787065,0.13,0.08,0.04
"Idaho",2019,681,843,625,880,"ID",2315,1516,799,1787065,0.13,0.08,0.04
"Illinois",2015,802,945,753,936,"IL",13177,8152,5025,12858913,0.1,0.06,0.04
"Illinois",2015,802,945,753,936,"IL",13177,8152,5025,12858913,0.1,0.06,0.04
"Illinois",2015,802,945,753,936,"IL",13177,8152,5025,12858913,0.1,0.06,0.04
"Illinois",2016,833,952,786,950,"IL",11590,6986,4604,12820527,0.09,0.05,0.04
"Illinois",2016,833,952,786,950,"IL",11590,6986,4604,12820527,0.09,0.05,0.04
"Illinois",2016,833,952,786,950,"IL",11590,6986,4604,12820527,0.09,0.05,0.04
"Illinois",2017,851,977,801,974,"IL",10798,6894,3904,12778828,0.08,0.05,0.03
"Illinois",2017,851,977,801,974,"IL",10798,6894,3904,12778828,0.08,0.05,0.03
"Illinois",2017,851,977,801,974,"IL",10798,6894,3904,12778828,0.08,0.05,0.03
"Illinois",2018,860,1000,842,995,"IL",10643,6752,3891,12723071,0.08,0.05,0.03
"Illinois",2018,860,1000,842,995,"IL",10643,6752,3891,12723071,0.08,0.05,0.03
"Illinois",2018,860,1000,842,995,"IL",10643,6752,3891,12723071,0.08,0.05,0.03
"Illinois",2019,894,1023,855,1020,"IL",10199,6513,3686,12671821,0.08,0.05,0.03
"Illinois",2019,894,1023,855,1020,"IL",10199,6513,3686,12671821,0.08,0.05,0.03
"Illinois",2019,894,1023,855,1020,"IL",10199,6513,3686,12671821,0.08,0.05,0.03
"Indiana",2015,607,769,578,758,"IN",5863,3914,1949,6608422,0.09,0.06,0.03
"Indiana",2015,607,769,578,758,"IN",5863,3914,1949,6608422,0.09,0.06,0.03
"Indiana",2015,607,769,578,758,"IN",5863,3914,1949,6608422,0.09,0.06,0.03
"Indiana",2016,616,775,570,768,"IN",5798,3824,1974,6634304,0.09,0.06,0.03
"Indiana",2016,616,775,570,768,"IN",5798,3824,1974,6634304,0.09,0.06,0.03
"Indiana",2016,616,775,570,768,"IN",5798,3824,1974,6634304,0.09,0.06,0.03
"Indiana",2017,647,803,590,793,"IN",5438,3623,1815,6658078,0.08,0.05,0.03
"Indiana",2017,647,803,590,793,"IN",5438,3623,1815,6658078,0.08,0.05,0.03
"Indiana",2017,647,803,590,793,"IN",5438,3623,1815,6658078,0.08,0.05,0.03
"Indiana",2018,677,827,627,820,"IN",5258,3776,1482,6695497,0.08,0.06,0.02
"Indiana",2018,677,827,627,820,"IN",5258,3776,1482,6695497,0.08,0.06,0.02
"Indiana",2018,677,827,627,820,"IN",5258,3776,1482,6695497,0.08,0.06,0.02
"Indiana",2019,685,843,661,840,"IN",5471,3783,1688,6732219,0.08,0.06,0.03
"Indiana",2019,685,843,661,840,"IN",5471,3783,1688,6732219,0.08,0.06,0.03
"Indiana",2019,685,843,661,840,"IN",5471,3783,1688,6732219,0.08,0.06,0.03
"Iowa",2015,556,741,543,718,"IA",3081,1501,1580,3120960,0.1,0.05,0.05
"Iowa",2015,556,741,543,718,"IA",3081,1501,1580,3120960,0.1,0.05,0.05
"Iowa",2015,556,741,543,718,"IA",3081,1501,1580,3120960,0.1,0.05,0.05
"Iowa",2016,580,759,582,741,"IA",3064,1543,1521,3131371,0.1,0.05,0.05
"Iowa",2016,580,759,582,741,"IA",3064,1543,1521,3131371,0.1,0.05,0.05
"Iowa",2016,580,759,582,741,"IA",3064,1543,1521,3131371,0.1,0.05,0.05
"Iowa",2017,592,771,562,760,"IA",2756,1500,1256,3141550,0.09,0.05,0.04
"Iowa",2017,592,771,562,760,"IA",2756,1500,1256,3141550,0.09,0.05,0.04
"Iowa",2017,592,771,562,760,"IA",2756,1500,1256,3141550,0.09,0.05,0.04
"Iowa",2018,604,797,631,777,"IA",2749,1711,1038,3148618,0.09,0.05,0.03
"Iowa",2018,604,797,631,777,"IA",2749,1711,1038,3148618,0.09,0.05,0.03
"Iowa",2018,604,797,631,777,"IA",2749,1711,1038,3148618,0.09,0.05,0.03
"Iowa",2019,620,826,568,808,"IA",2315,1574,741,3155070,0.07,0.05,0.02
"Iowa",2019,620,826,568,808,"IA",2315,1574,741,3155070,0.07,0.05,0.02
"Iowa",2019,620,826,568,808,"IA",2315,1574,741,3155070,0.07,0.05,0.02
"Kansas",2015,584,776,593,782,"KS",2588,1466,1122,2909011,0.09,0.05,0.04
"Kansas",2015,584,776,593,782,"KS",2588,1466,1122,2909011,0.09,0.05,0.04
"Kansas",2015,584,776,593,782,"KS",2588,1466,1122,2909011,0.09,0.05,0.04
"Kansas",2016,623,780,589,789,"KS",2255,1228,1027,2910844,0.08,0.04,0.04
"Kansas",2016,623,780,589,789,"KS",2255,1228,1027,2910844,0.08,0.04,0.04
"Kansas",2016,623,780,589,789,"KS",2255,1228,1027,2910844,0.08,0.04,0.04
"Kansas",2017,652,822,617,815,"KS",2287,1423,864,2908718,0.08,0.05,0.03
"Kansas",2017,652,822,617,815,"KS",2287,1423,864,2908718,0.08,0.05,0.03
"Kansas",2017,652,822,617,815,"KS",2287,1423,864,2908718,0.08,0.05,0.03
"Kansas",2018,657,836,707,840,"KS",2216,1443,773,2911359,0.08,0.05,0.03
"Kansas",2018,657,836,707,840,"KS",2216,1443,773,2911359,0.08,0.05,0.03
"Kansas",2018,657,836,707,840,"KS",2216,1443,773,2911359,0.08,0.05,0.03
"Kansas",2019,682,837,651,862,"KS",2381,1742,639,2913314,0.08,0.06,0.02
"Kansas",2019,682,837,651,862,"KS",2381,1742,639,2913314,0.08,0.06,0.02
"Kansas",2019,682,837,651,862,"KS",2381,1742,639,2913314,0.08,0.06,0.02
"Kentucky",2015,558,690,508,702,"KY",4538,3151,1387,4425976,0.1,0.07,0.03
"Kentucky",2015,558,690,508,702,"KY",4538,3151,1387,4425976,0.1,0.07,0.03
"Kentucky",2015,558,690,508,702,"KY",4538,3151,1387,4425976,0.1,0.07,0.03
"Kentucky",2016,560,696,500,707,"KY",4237,2949,1288,4438182,0.1,0.07,0.03
"Kentucky",2016,560,696,500,707,"KY",4237,2949,1288,4438182,0.1,0.07,0.03
"Kentucky",2016,560,696,500,707,"KY",4237,2949,1288,4438182,0.1,0.07,0.03
"Kentucky",2017,578,703,507,724,"KY",4025,3032,993,4452268,0.09,0.07,0.02
"Kentucky",2017,578,703,507,724,"KY",4025,3032,993,4452268,0.09,0.07,0.02
"Kentucky",2017,578,703,507,724,"KY",4025,3032,993,4452268,0.09,0.07,0.02
"Kentucky",2018,616,772,575,779,"KY",3688,2735,953,4461153,0.08,0.06,0.02
"Kentucky",2018,616,772,575,779,"KY",3688,2735,953,4461153,0.08,0.06,0.02
"Kentucky",2018,616,772,575,779,"KY",3688,2735,953,4461153,0.08,0.06,0.02
"Kentucky",2019,652,760,574,773,"KY",4079,3073,1006,4467673,0.09,0.07,0.02
"Kentucky",2019,652,760,574,773,"KY",4079,3073,1006,4467673,0.09,0.07,0.02
"Kentucky",2019,652,760,574,773,"KY",4079,3073,1006,4467673,0.09,0.07,0.02
"Louisiana",2015,678,789,653,800,"LA",4081,3217,864,4664628,0.09,0.07,0.02
"Louisiana",2015,678,789,653,800,"LA",4081,3217,864,4664628,0.09,0.07,0.02
"Louisiana",2015,678,789,653,800,"LA",4081,3217,864,4664628,0.09,0.07,0.02
"Louisiana",2016,681,802,632,808,"LA",3994,3176,818,4678135,0.09,0.07,0.02
"Louisiana",2016,681,802,632,808,"LA",3994,3176,818,4678135,0.09,0.07,0.02
"Louisiana",2016,681,802,632,808,"LA",3994,3176,818,4678135,0.09,0.07,0.02
"Louisiana",2017,700,821,587,836,"LA",3305,2559,746,4670560,0.07,0.05,0.02
"Louisiana",2017,700,821,587,836,"LA",3305,2559,746,4670560,0.07,0.05,0.02
"Louisiana",2017,700,821,587,836,"LA",3305,2559,746,4670560,0.07,0.05,0.02
"Louisiana",2018,732,844,614,854,"LA",3059,2540,519,4659690,0.07,0.05,0.01
"Louisiana",2018,732,844,614,854,"LA",3059,2540,519,4659690,0.07,0.05,0.01
"Louisiana",2018,732,844,614,854,"LA",3059,2540,519,4659690,0.07,0.05,0.01
"Louisiana",2019,742,863,710,866,"LA",2941,2416,525,4648794,0.06,0.05,0.01
"Louisiana",2019,742,863,710,866,"LA",2941,2416,525,4648794,0.06,0.05,0.01
